DMA,trips,visitor_days,avg_spend_per_visitor,avg_spend_per_day,est_impact,avg_length_of_stay,key,total_trips_[Destination],visitor_days_[Destination],avg_length_of_stay_[Destination],compare_to_overall_[Destination],est_impact_[Destination],correlation_group_[Destination],total_trips_[Resorts],visitor_days_[Resorts],avg_length_of_stay_[Resorts],compare_to_overall_[Resorts],est_impact_[Resorts],correlation_group_[Resorts]
Cincinnati,3,11,$401.48,$332.54,"$1,204.44",4.3 Days,15,3,11,4.3 Days,-2.254497456945706,"$1,204.44",100%,,,,,,
Oklahoma City,18,28,$192.04,$66.15,"$3,456.72",1.5 Days,16,18,28,1.5 Days,1.5421098050473898,"$3,456.72",100%,,,,,,
New Orleans,9,15,$126.22,$56.57,"$1,135.98",1.6 Days,17,9,15,1.6 Days,0.3487586737144108,"$1,135.98",100%,,,,,,
Dallas-Ft. Worth,9,11,$482.12,$188.00,"$4,339.08",1.2 Days,18,9,11,1.2 Days,2.0017421212750923,"$4,339.08",100%,2,4,2.1 Days,1.1774946649242581,"$1,652.00",23%
Lake Charles,1,1,$126.22,$56.57,$126.22,1.1 Days,19,1,1,1.1 Days,0.4373679975781568,$126.22,100%,,,,,,
Gainesville,5,6,$126.22,$56.57,$631.10,1.1 Days,20,5,6,1.1 Days,1.1972021449327006,$631.10,100%,,,,,,
Milwaukee,30,162,$456.25,$163.32,"$13,687.50",5.4 Days,21,30,162,5.4 Days,-2.942782916124946,"$13,687.50",100%,,,,,,
Charlotte,6,7,$136.53,$77.60,$819.18,1.1 Days,22,6,7,1.1 Days,1.660534725976481,$819.18,100%,,,,,,
Seattle-Tacoma,10,49,$297.03,$137.39,"$2,970.30",4.8 Days,23,10,49,4.8 Days,-1.3583687540043083,"$2,970.30",100%,2,2,1.2 Days,2.2220439474088054,$826.00,19%
Chattanooga,3,8,$126.22,$56.57,$378.66,2.4 Days,24,3,8,2.4 Days,3.0835806010685807,$378.66,100%,,,,,,
Philadelphia,33,99,$412.34,$147.47,"$13,607.22",3 Days,25,33,99,3 Days,-0.8040477262719277,"$13,607.22",100%,2,19,11.3 Days,-9.112245215453061,"$7,847.00",5%
