Time Posted,"Image URL","Views","Reach","Replies","Back","Forward","Exited","Completion Rate","Avg. Views/User"
"Nov 2, 2025 08:31:59 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3757099037196530268_17841400918126378-59194d5a7acad5.jpg","1061","857","0","20","321","51","95%","1"
"Nov 2, 2025 08:29:39 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3757097800942194466_17841400918126378-36fb98c84dcf7b.jpg","524","430","0","8","351","24","95%","1"
"Nov 1, 2025 07:29:02 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3756674694931094868_17841400918126378-c1029bcad7534b.jpg","384","346","0","12","274","43","89%","1"
"Nov 1, 2025 07:28:49 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3756674580426634795_17841400918126378-de5715f5f59351.jpg","463","413","2","4","296","24","95%","1"
"Oct 31, 2025 07:59:37 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3755965310869520610_17841400918126378-9b5232ff9a798d.jpg","409","342","1","8","260","44","89%","1"
"Oct 31, 2025 07:59:24 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3755965229097365999_17841400918126378-1477788612fab8.jpg","514","444","0","10","300","33","94%","1"
"Oct 29, 2025 10:56:46 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3754242567962765858_17841400918126378-fbdef4cb460728.jpg","277","226","0","7","192","42","85%","1"
"Oct 29, 2025 10:56:34 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3754242430674835380_17841400918126378-85520666861f60.jpg","266","240","0","11","210","12","95%","1"
"Oct 29, 2025 10:55:49 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3754242061190200073_17841400918126378-06f69ef478797d.jpg","338","269","0","3","210","33","90%","1"
"Oct 28, 2025 11:18:40 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3753528784722228891_17841400918126378-734f4b39025050.jpg","835","737","0","35","595","84","90%","1"
"Oct 28, 2025 11:18:21 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3753528713385535448_17841400918126378-41950e60f610b9.jpg","1022","910","1","4","645","71","93%","1"
"Oct 27, 2025 11:19:44 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3752804553747250169_17841400918126378-9573f4ea61136b.jpg","434","381","1","19","313","64","85%","1"
"Oct 27, 2025 10:49:44 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3752789447877516879_17841400918126378-2571a01d47a71e.jpg","465","396","0","19","359","25","95%","1"
"Oct 27, 2025 10:48:36 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3752788885287093987_17841400918126378-41656d803f6069.jpg","785","676","1","4","318","34","96%","1"
"Oct 24, 2025 04:02:55 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3750772747736849597_17841400918126378-04f752dce1997b.jpg","299","258","1","16","192","42","86%","1"
"Oct 24, 2025 03:50:59 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3750766748841946804_17841400918126378-3b317ba8d18ea3.jpg","344","302","0","4","187","26","92%","1"
"Oct 23, 2025 01:20:53 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3749966435532832745_17841400918126378-170b3abe700be8.jpg","274","245","0","19","188","32","88%","1"
"Oct 23, 2025 01:02:47 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3749957402679736738_17841400918126378-ba0aab843c5ac1.jpg","304","255","1","16","230","24","92%","1"
"Oct 23, 2025 10:45:21 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3749888147153954540_17841400918126378-2b14b6a7416f48.jpg","282","252","0","22","225","19","93%","1"
"Oct 23, 2025 10:42:24 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3749886661279866583_17841400918126378-3af40779877aab.jpg","296","259","0","23","224","16","95%","1"
"Oct 23, 2025 10:40:02 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3749885458990988860_17841400918126378-b74a45bdd026ce.jpg","332","285","1","11","237","26","92%","1"
"Oct 22, 2025 01:56:05 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3749259356711038406_17841400918126378-f4b327be591982.jpg","558","468","0","29","378","57","90%","1"
